,Model,Data,precision,recall,f1-score,support
euphonium,frozen_resnet18,Train,0.9767441860465116,0.9333333333333333,0.9545454545454546,45.0
ewer,frozen_resnet18,Train,0.9705882352941176,0.9850746268656716,0.9777777777777777,67.0
ferry,frozen_resnet18,Train,0.9772727272727273,0.9555555555555556,0.9662921348314607,45.0
flamingo,frozen_resnet18,Train,0.9767441860465116,0.9333333333333333,0.9545454545454546,45.0
flamingo_head,frozen_resnet18,Train,1.0,0.90625,0.9508196721311475,32.0
garfield,frozen_resnet18,Train,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
gerenuk,frozen_resnet18,Train,0.8571428571428571,0.8888888888888888,0.8727272727272727,27.0
gramophone,frozen_resnet18,Train,0.8611111111111112,0.8378378378378378,0.8493150684931506,37.0
grand_piano,frozen_resnet18,Train,1.0,1.0,1.0,68.0
hawksbill,frozen_resnet18,Train,0.9571428571428572,0.9852941176470589,0.9710144927536232,68.0
headphone,frozen_resnet18,Train,0.875,0.9333333333333333,0.9032258064516129,30.0
hedgehog,frozen_resnet18,Train,0.8958333333333334,0.9772727272727273,0.9347826086956522,44.0
helicopter,frozen_resnet18,Train,0.8507462686567164,0.8636363636363636,0.8571428571428571,66.0
ibis,frozen_resnet18,Train,0.9508196721311475,0.9830508474576272,0.9666666666666667,59.0
inline_skate,frozen_resnet18,Train,0.9545454545454546,0.9130434782608695,0.9333333333333333,23.0
joshua_tree,frozen_resnet18,Train,0.8936170212765957,0.9767441860465116,0.9333333333333333,43.0
kangaroo,frozen_resnet18,Train,0.8611111111111112,0.9841269841269841,0.9185185185185185,63.0
ketch,frozen_resnet18,Train,0.8823529411764706,0.9146341463414634,0.8982035928143712,82.0
lamp,frozen_resnet18,Train,0.918918918918919,0.8717948717948718,0.8947368421052632,39.0
laptop,frozen_resnet18,Train,1.0,0.9824561403508771,0.9911504424778761,57.0
llama,frozen_resnet18,Train,0.9795918367346939,0.9056603773584906,0.9411764705882353,53.0
lobster,frozen_resnet18,Train,0.95,0.7307692307692307,0.8260869565217391,26.0
lotus,frozen_resnet18,Train,0.6833333333333333,0.9534883720930233,0.7961165048543689,43.0
mandolin,frozen_resnet18,Train,0.875,0.5833333333333334,0.7,24.0
mayfly,frozen_resnet18,Train,0.8928571428571429,0.8620689655172413,0.8771929824561403,29.0
menorah,frozen_resnet18,Train,0.8983050847457628,0.8833333333333333,0.8907563025210085,60.0
metronome,frozen_resnet18,Train,1.0,0.9545454545454546,0.9767441860465116,22.0
minaret,frozen_resnet18,Train,0.8983050847457628,1.0,0.9464285714285714,53.0
nautilus,frozen_resnet18,Train,0.9130434782608695,1.0,0.9545454545454546,42.0
octopus,frozen_resnet18,Train,0.6666666666666666,0.5833333333333334,0.6222222222222222,24.0
okapi,frozen_resnet18,Train,0.9565217391304348,0.88,0.9166666666666666,25.0
pagoda,frozen_resnet18,Train,1.0,0.9375,0.967741935483871,32.0
panda,frozen_resnet18,Train,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
pigeon,frozen_resnet18,Train,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
pizza,frozen_resnet18,Train,1.0,0.9487179487179487,0.9736842105263158,39.0
platypus,frozen_resnet18,Train,0.7647058823529411,0.5652173913043478,0.65,23.0
pyramid,frozen_resnet18,Train,1.0,0.8717948717948718,0.9315068493150684,39.0
revolver,frozen_resnet18,Train,0.9423076923076923,0.9245283018867925,0.9333333333333333,53.0
rhino,frozen_resnet18,Train,0.9090909090909091,0.9090909090909091,0.9090909090909091,44.0
rooster,frozen_resnet18,Train,0.972972972972973,0.9230769230769231,0.9473684210526315,39.0
saxophone,frozen_resnet18,Train,1.0,0.9130434782608695,0.9545454545454546,23.0
schooner,frozen_resnet18,Train,0.8409090909090909,0.8043478260869565,0.8222222222222222,46.0
scissors,frozen_resnet18,Train,0.8928571428571429,0.8928571428571429,0.8928571428571429,28.0
scorpion,frozen_resnet18,Train,0.8260869565217391,0.9193548387096774,0.8702290076335878,62.0
sea_horse,frozen_resnet18,Train,0.7906976744186046,0.8947368421052632,0.8395061728395061,38.0
snoopy,frozen_resnet18,Train,0.7037037037037037,0.8260869565217391,0.76,23.0
soccer_ball,frozen_resnet18,Train,0.975,0.9512195121951219,0.9629629629629629,41.0
stapler,frozen_resnet18,Train,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
starfish,frozen_resnet18,Train,1.0,1.0,1.0,58.0
stegosaurus,frozen_resnet18,Train,0.7843137254901961,0.8888888888888888,0.8333333333333334,45.0
stop_sign,frozen_resnet18,Train,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0
strawberry,frozen_resnet18,Train,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
sunflower,frozen_resnet18,Train,0.9636363636363636,0.9636363636363636,0.9636363636363636,55.0
tick,frozen_resnet18,Train,0.9166666666666666,0.9428571428571428,0.9295774647887324,35.0
trilobite,frozen_resnet18,Train,0.9836065573770492,1.0,0.9917355371900827,60.0
umbrella,frozen_resnet18,Train,0.8679245283018868,0.8518518518518519,0.8598130841121495,54.0
watch,frozen_resnet18,Train,0.98125,0.9751552795031055,0.9781931464174455,161.0
water_lilly,frozen_resnet18,Train,1.0,0.25,0.4,24.0
wheelchair,frozen_resnet18,Train,0.9333333333333333,0.9130434782608695,0.9230769230769231,46.0
wild_cat,frozen_resnet18,Train,1.0,0.8148148148148148,0.8979591836734694,27.0
windsor_chair,frozen_resnet18,Train,0.925,0.9487179487179487,0.9367088607594937,39.0
wrench,frozen_resnet18,Train,0.8095238095238095,0.6538461538461539,0.723404255319149,26.0
yin_yang,frozen_resnet18,Train,0.975,0.9512195121951219,0.9629629629629629,41.0
accuracy,frozen_resnet18,Train,0.9227729293594599,0.9227729293594599,0.9227729293594599,0.9227729293594599
macro avg,frozen_resnet18,Train,0.9090061060288327,0.8848041888767737,0.8916198468807238,6073.0
weighted avg,frozen_resnet18,Train,0.9246584839524559,0.9227729293594599,0.9209702810434078,6073.0
Faces,resnet18,Train,0.9966996699669967,0.9966996699669967,0.9966996699669967,303.0
Faces_easy,resnet18,Train,0.9967213114754099,0.9967213114754099,0.9967213114754099,305.0
Leopards,resnet18,Train,1.0,1.0,1.0,135.0
Motorbikes,resnet18,Train,1.0,1.0,1.0,553.0
accordion,resnet18,Train,1.0,1.0,1.0,37.0
airplanes,resnet18,Train,1.0,1.0,1.0,565.0
anchor,resnet18,Train,1.0,1.0,1.0,30.0
ant,resnet18,Train,1.0,1.0,1.0,31.0
barrel,resnet18,Train,1.0,1.0,1.0,32.0
bass,resnet18,Train,1.0,1.0,1.0,39.0
beaver,resnet18,Train,1.0,1.0,1.0,32.0
binocular,resnet18,Train,1.0,1.0,1.0,18.0
bonsai,resnet18,Train,1.0,1.0,1.0,94.0
brain,resnet18,Train,1.0,1.0,1.0,67.0
brontosaurus,resnet18,Train,1.0,1.0,1.0,29.0
buddha,resnet18,Train,1.0,1.0,1.0,64.0
butterfly,resnet18,Train,1.0,1.0,1.0,56.0
camera,resnet18,Train,1.0,1.0,1.0,41.0
cannon,resnet18,Train,1.0,1.0,1.0,32.0
car_side,resnet18,Train,1.0,1.0,1.0,93.0
ceiling_fan,resnet18,Train,1.0,1.0,1.0,29.0
cellphone,resnet18,Train,1.0,1.0,1.0,38.0
chair,resnet18,Train,1.0,1.0,1.0,43.0
chandelier,resnet18,Train,1.0,1.0,1.0,76.0
cougar_body,resnet18,Train,1.0,1.0,1.0,33.0
cougar_face,resnet18,Train,1.0,1.0,1.0,51.0
crab,resnet18,Train,1.0,1.0,1.0,55.0
crayfish,resnet18,Train,1.0,1.0,1.0,46.0
crocodile,resnet18,Train,1.0,1.0,1.0,39.0
crocodile_head,resnet18,Train,1.0,1.0,1.0,35.0
cup,resnet18,Train,1.0,1.0,1.0,40.0
dalmatian,resnet18,Train,1.0,1.0,1.0,51.0
dollar_bill,resnet18,Train,1.0,1.0,1.0,36.0
dolphin,resnet18,Train,1.0,1.0,1.0,52.0
dragonfly,resnet18,Train,1.0,1.0,1.0,47.0
electric_guitar,resnet18,Train,1.0,1.0,1.0,46.0
elephant,resnet18,Train,1.0,1.0,1.0,43.0
emu,resnet18,Train,1.0,1.0,1.0,36.0
euphonium,resnet18,Train,1.0,1.0,1.0,45.0
